Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
7,NB(M),87.52,82.15,96.19,88.51,87.52,87.39,0.16,0.95,0.76,Individual,Move And Rename Class
8,KNN,86.45,82.45,92.89,87.25,86.45,86.36,0.1,0.93,0.74,Individual,Move And Rename Class
0,Stack-LR,92.73,91.84,93.87,92.76,92.73,92.72,0.06,0.97,0.86,Stacking,Move And Rename Class
1,Stack-DT,85.62,88.58,82.01,84.64,85.62,85.49,0.14,0.86,0.72,Stacking,Move And Rename Class
0,TBStack-LR,94.88,95.21,94.53,94.81,94.88,94.87,0.04,0.99,0.9,TreeStacking,Move And Rename Class
1,TBStack-DT,93.06,93.62,92.56,93,93.06,93.05,0.07,0.93,0.86,TreeStacking,Move And Rename Class
0,DT,95.98,95.59,96.43,96,95.98,95.98,0.04,0.96,0.92,Individual,Move Class
1,LR,88.52,86.03,92.09,88.93,88.52,88.5,0.08,0.96,0.77,Individual,Move Class
2,SVM,91.61,89.56,94.27,91.84,91.61,91.6,0.06,0.97,0.83,Individual,Move Class
3,MLP,95.62,94.56,96.83,95.67,95.62,95.62,0.03,0.99,0.91,Individual,Move Class
4,SGD,87.76,85.22,91.52,88.22,87.76,87.74,0.08,0.96,0.76,Individual,Move Class
5,NB(B),90.22,91.43,88.9,90.12,90.22,90.21,0.07,0.97,0.81,Individual,Move Class
6,NB(G),73.69,66.56,96.4,78.67,73.69,72.05,0.26,0.77,0.53,Individual,Move Class
7,NB(M),89.52,85.97,94.57,90.04,89.52,89.48,0.15,0.95,0.79,Individual,Move Class
8,KNN,91.11,87.75,95.66,91.52,91.11,91.09,0.07,0.96,0.83,Individual,Move Class
0,Stack-LR,96.44,96.27,96.64,96.45,96.44,96.44,0.03,0.99,0.93,Stacking,Move Class
1,Stack-DT,94.69,94.86,94.51,94.68,94.69,94.69,0.05,0.95,0.89,Stacking,Move Class
0,TBStack-LR,97.44,97.87,96.99,97.43,97.44,97.44,0.02,1,0.95,TreeStacking,Move Class
1,TBStack-DT,96.24,96.15,96.35,96.25,96.24,96.24,0.04,0.96,0.92,TreeStacking,Move Class
0,DT,90.92,91.4,90.35,90.86,90.92,90.92,0.09,0.91,0.82,Individual,Rename Class
1,LR,85.04,82.54,88.88,85.57,85.04,85.02,0.1,0.94,0.7,Individual,Rename Class
2,SVM,88.1,85.77,91.39,88.47,88.1,88.08,0.08,0.96,0.76,Individual,Rename Class
3,MLP,92.28,91.38,93.39,92.36,92.28,92.28,0.06,0.98,0.85,Individual,Rename Class
4,SGD,85.54,82.7,89.92,86.11,85.54,85.5,0.1,0.95,0.71,Individual,Rename Class
5,NB(B),83.39,82.23,85.2,83.67,83.39,83.38,0.13,0.92,0.67,Individual,Rename Class
6,NB(G),69.63,62.89,95.87,75.95,69.63,67.37,0.3,0.73,0.46,Individual,Rename Class
7,NB(M),87.71,84.16,92.96,88.32,87.71,87.67,0.17,0.94,0.76,Individual,Rename Class
8,KNN,88.22,85.15,92.62,88.69,88.22,88.19,0.09,0.94,0.77,Individual,Rename Class
0,Stack-LR,92.64,92.24,93.12,92.67,92.64,92.64,0.06,0.98,0.85,Stacking,Rename Class
1,Stack-DT,87.2,88.66,85.28,86.88,87.2,87.19,0.13,0.87,0.75,Stacking,Rename Class
0,TBStack-LR,94.33,94.54,94.11,94.32,94.33,94.33,0.04,0.99,0.89,TreeStacking,Rename Class
1,TBStack-DT,91.1,91.21,90.96,91.07,91.1,91.1,0.09,0.91,0.82,TreeStacking,Rename Class
